0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:29:25 -0500] "GET /vtac/css/agency.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:29:26 -0500] "GET /vtac/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:29:27 -0500] "GET /vtac/ HTTP/1.1" 200 35740
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:29:27 -0500] "GET /vtac/css/agency.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:29:27 -0500] "GET /vtac/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:29:28 -0500] "GET /vtac/ HTTP/1.1" 200 35740
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:29:28 -0500] "GET /vtac/css/agency.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:29:29 -0500] "GET /vtac/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:37 -0500] "GET /vtac/ HTTP/1.1" 200 35740
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:37 -0500] "GET /vtac/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/css/agency.min.css HTTP/1.1" 200 15135
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/js/jqBootstrapValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/js/contact_me.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/img/portfolio/roundicons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/img/portfolio/golden.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/img/portfolio/startup-framework.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/img/about/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/img/portfolio/dreams.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/img/portfolio/treehouse.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/img/team/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/js/agency.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/img/about/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/img/team/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/img/logos/envato.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/img/team/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/img/about/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/img/logos/designmodo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/img/portfolio/roundicons-free.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/img/logos/themeforest.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/img/about/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/img/portfolio/escape.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/img/portfolio/treehouse-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/img/portfolio/startup-framework-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/img/portfolio/golden-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/img/portfolio/escape-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/img/portfolio/dreams-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/img/logos/creative-market.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/img/header-bg-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:30:38 -0500] "GET /vtac/img/map-image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:37:18 -0500] "GET /vtac/ HTTP/1.1" 200 35740
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:37:18 -0500] "GET /vtac/css/agency.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:37:18 -0500] "GET /vtac/img/Logo_VTAC1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:37:19 -0500] "GET /vtac/img/header-bg-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:37:19 -0500] "GET /vtac/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/ HTTP/1.1" 200 35740
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/css/agency.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/js/jqBootstrapValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/js/agency.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/js/contact_me.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/Logo_VTAC1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/portfolio/treehouse.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/portfolio/roundicons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/portfolio/dreams.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/portfolio/startup-framework.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/portfolio/escape.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/about/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/portfolio/golden.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/about/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/about/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/about/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/team/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/team/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/team/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/logos/designmodo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/logos/themeforest.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/logos/creative-market.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/logos/envato.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/portfolio/roundicons-free.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/portfolio/startup-framework-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/portfolio/treehouse-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/portfolio/golden-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/portfolio/escape-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/portfolio/dreams-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/header-bg-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/img/map-image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:44:41 -0500] "GET /vtac/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:50:58 -0500] "GET /vtac/ HTTP/1.1" 200 35741
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:50:58 -0500] "GET /vtac/css/agency.min.css HTTP/1.1" 200 15135
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:50:59 -0500] "GET /vtac/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:50:59 -0500] "GET /vtac/img/header-bg-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:38 -0500] "GET /vtac/ HTTP/1.1" 200 35722
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:38 -0500] "GET /vtac/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:38 -0500] "GET /vtac/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/css/agency.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/Logo_VTAC1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/portfolio/roundicons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/portfolio/treehouse.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/portfolio/startup-framework.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/portfolio/escape.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/portfolio/dreams.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/portfolio/golden.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/about/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/js/contact_me.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/js/jqBootstrapValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/js/agency.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/about/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/about/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/about/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/team/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/team/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/team/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/logos/envato.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/portfolio/startup-framework-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/portfolio/roundicons-free.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/logos/themeforest.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/logos/creative-market.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/logos/designmodo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/portfolio/treehouse-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/portfolio/golden-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/portfolio/dreams-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/portfolio/escape-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/map-image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:08:39 -0500] "GET /vtac/img/header-bg-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:10:00 -0500] "GET /vtac/index.jsp HTTP/1.1" 200 35722
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:10:45 -0500] "GET /vtac/ HTTP/1.1" 200 35722
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:10:45 -0500] "GET /vtac/css/agency.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:12:14 -0500] "GET /vtac/ HTTP/1.1" 200 35722
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:12:27 -0500] "GET /vtac/ HTTP/1.1" 200 35722
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:12:28 -0500] "GET /vtac/ HTTP/1.1" 200 35722
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:12:29 -0500] "GET /vtac/ HTTP/1.1" 200 35722
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:12:39 -0500] "GET /vtac/ HTTP/1.1" 200 35717
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:36 -0500] "GET /vtac/ HTTP/1.1" 200 35717
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:36 -0500] "GET /vtac/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:36 -0500] "GET /vtac/css/agency.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/js/agency.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/js/jqBootstrapValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/Logo_VTAC1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/portfolio/startup-framework.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/portfolio/roundicons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/js/contact_me.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/portfolio/golden.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/about/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/portfolio/escape.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/about/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/about/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/portfolio/treehouse.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/team/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/about/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/team/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/team/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/logos/envato.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/logos/designmodo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/logos/themeforest.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/portfolio/dreams.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/logos/creative-market.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/portfolio/roundicons-free.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/portfolio/startup-framework-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/portfolio/treehouse-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/portfolio/escape-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/portfolio/dreams-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/portfolio/golden-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/header-bg-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:37 -0500] "GET /vtac/img/map-image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:44 -0500] "GET /vtac/ HTTP/1.1" 200 35744
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:44 -0500] "GET /vtac/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:46 -0500] "GET /vtac/ HTTP/1.1" 200 35744
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:47 -0500] "GET /vtac/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:49 -0500] "GET /vtac/ HTTP/1.1" 200 35744
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:50 -0500] "GET /vtac/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:52 -0500] "GET /vtac/ HTTP/1.1" 200 35744
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:31:52 -0500] "GET /vtac/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:34:12 -0500] "GET /vtac/ HTTP/1.1" 200 35744
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:34:12 -0500] "GET /vtac/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:34:20 -0500] "GET /vtac/ HTTP/1.1" 200 35744
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:34:20 -0500] "GET /vtac/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:34:37 -0500] "GET /vtac/ HTTP/1.1" 200 35744
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:34:37 -0500] "GET /vtac/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:34:42 -0500] "GET /vtac/ HTTP/1.1" 200 35744
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:34:42 -0500] "GET /vtac/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:34:43 -0500] "GET /vtac/ HTTP/1.1" 200 35744
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:34:43 -0500] "GET /vtac/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:34:44 -0500] "GET /vtac/ HTTP/1.1" 200 35744
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:34:44 -0500] "GET /vtac/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [17/Jan/2017:14:34:45 -0500] "GET /vtac/ HTTP/1.1" 200 35744
